Messjahr,Stadt,Indikator,Wert
2021,Zuerich,Anteil der Bevölkerung zwischen 15 und 64 Jahren,57.84353153
2021,London,Anteil der Bevölkerung zwischen 15 und 64 Jahren,38.28370102
2021,Amsterdam,Anteil der Bevölkerung zwischen 15 und 64 Jahren,46.91195687
2021,Muenchen,Anteil der Bevölkerung zwischen 15 und 64 Jahren,42.38388047
2021,Dublin,Anteil der Bevölkerung zwischen 15 und 64 Jahren,52.38021619
2021,Stockholm,Anteil der Bevölkerung zwischen 15 und 64 Jahren,28.7506669
2021,Zuerich,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,100
2021,London,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,100
2021,Amsterdam,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,100
2021,Muenchen,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,88.14268927
2021,Dublin,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,90.39496485
2021,Stockholm,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,100
2021,Zuerich,Anteil Bevölkerung beteiligt an lebenslangem Lernen,100
2021,London,Anteil Bevölkerung beteiligt an lebenslangem Lernen,58.66325245
2021,Amsterdam,Anteil Bevölkerung beteiligt an lebenslangem Lernen,76.18623805
2021,Muenchen,Anteil Bevölkerung beteiligt an lebenslangem Lernen,29.71233114
2021,Dublin,Anteil Bevölkerung beteiligt an lebenslangem Lernen,52.94947316
2021,Stockholm,Anteil Bevölkerung beteiligt an lebenslangem Lernen,100
2022,Zuerich,Attraktivität für internationale Talente,100
2022,London,Attraktivität für internationale Talente,55
2022,Amsterdam,Attraktivität für internationale Talente,86.66666667
2022,Muenchen,Attraktivität für internationale Talente,85
2022,Dublin,Attraktivität für internationale Talente,76.66666667
2022,Stockholm,Attraktivität für internationale Talente,98.33333333
2021,Zuerich,Erwerbstätigenquote,93.50348028
2021,London,Erwerbstätigenquote,78.88714777
2021,Amsterdam,Erwerbstätigenquote,90.25522042
2021,Muenchen,Erwerbstätigenquote,88.63109049
2021,Dublin,Erwerbstätigenquote,69.60556845
2021,Stockholm,Erwerbstätigenquote,86.31090487
2021,Zuerich,Rekrutierungsschwierigkeiten,8.928571429
2021,London,Rekrutierungsschwierigkeiten,19.64285714
2021,Amsterdam,Rekrutierungsschwierigkeiten,26.78571429
2021,Muenchen,Rekrutierungsschwierigkeiten,10.71428571
2021,Dublin,Rekrutierungsschwierigkeiten,17.85714286
2021,Stockholm,Rekrutierungsschwierigkeiten,21.42857143
2023,Zuerich,Anteil Top-Universitäten pro Einwohner,100
2023,London,Anteil Top-Universitäten pro Einwohner,54.79862989
2023,Amsterdam,Anteil Top-Universitäten pro Einwohner,49.66968835
2023,Muenchen,Anteil Top-Universitäten pro Einwohner,15.66850668
2023,Dublin,Anteil Top-Universitäten pro Einwohner,44.35519387
2023,Stockholm,Anteil Top-Universitäten pro Einwohner,66.55062241
2021,Zuerich,Anteil neue MINT Doktoratsabsolventen im Verhältnis zur Population aller 25- bis 34-Jährigen,100
2021,London,Anteil neue MINT Doktoratsabsolventen im Verhältnis zur Population aller 25- bis 34-Jährigen,100
2021,Amsterdam,Anteil neue MINT Doktoratsabsolventen im Verhältnis zur Population aller 25- bis 34-Jährigen,37.42760779
2021,Muenchen,Anteil neue MINT Doktoratsabsolventen im Verhältnis zur Population aller 25- bis 34-Jährigen,44.35519387
2021,Dublin,Anteil neue MINT Doktoratsabsolventen im Verhältnis zur Population aller 25- bis 34-Jährigen,65.23776245
2021,Stockholm,Anteil neue MINT Doktoratsabsolventen im Verhältnis zur Population aller 25- bis 34-Jährigen,65.23776245
2021,Zuerich,Anteil Top Int. Wissenschaftliche Publikationen an allen Publikationen,100
2021,London,Anteil Top Int. Wissenschaftliche Publikationen an allen Publikationen,94.71440896
2021,Amsterdam,Anteil Top Int. Wissenschaftliche Publikationen an allen Publikationen,94.12534353
2021,Muenchen,Anteil Top Int. Wissenschaftliche Publikationen an allen Publikationen,49.66968835
2021,Dublin,Anteil Top Int. Wissenschaftliche Publikationen an allen Publikationen,63.33339047
2021,Stockholm,Anteil Top Int. Wissenschaftliche Publikationen an allen Publikationen,82.15034595
2021,Zuerich,Wissenschaftliche Co-Publikationen im Verhältnis zur Gesamtbevölkerung,54.97050287
2021,London,Wissenschaftliche Co-Publikationen im Verhältnis zur Gesamtbevölkerung,54.97050287
2021,Amsterdam,Wissenschaftliche Co-Publikationen im Verhältnis zur Gesamtbevölkerung,53.76468308
2021,Muenchen,Wissenschaftliche Co-Publikationen im Verhältnis zur Gesamtbevölkerung,66.55062241
2021,Dublin,Wissenschaftliche Co-Publikationen im Verhältnis zur Gesamtbevölkerung,46.99606006
2021,Stockholm,Wissenschaftliche Co-Publikationen im Verhältnis zur Gesamtbevölkerung,54.97050287
2021,Zuerich,Anteil Bevölkerung mit Tertiärabschluss,90.0621118
2021,London,Anteil Bevölkerung mit Tertiärabschluss,71.22153209
2021,Amsterdam,Anteil Bevölkerung mit Tertiärabschluss,76.19047619
2021,Muenchen,Anteil Bevölkerung mit Tertiärabschluss,54.79862989
2021,Dublin,Anteil Bevölkerung mit Tertiärabschluss,91.09730849
2021,Stockholm,Anteil Bevölkerung mit Tertiärabschluss,90.68322981
2020,Zuerich,MINT Abschlüsse pro Einwohner,49.29971989
2020,London,MINT Abschlüsse pro Einwohner,61.62464986
2020,Amsterdam,MINT Abschlüsse pro Einwohner,26.8907563
2020,Muenchen,MINT Abschlüsse pro Einwohner,50.70028011
2020,Dublin,MINT Abschlüsse pro Einwohner,100
2020,Stockholm,MINT Abschlüsse pro Einwohner,36.41456583
2022,Zuerich,Jugendarbeitslosigkeit,90.48582996
2022,London,Jugendarbeitslosigkeit,77.32793522
2022,Amsterdam,Jugendarbeitslosigkeit,89.06882591
2022,Muenchen,Jugendarbeitslosigkeit,95.1417004
2022,Dublin,Jugendarbeitslosigkeit,85.22267206
2022,Stockholm,Jugendarbeitslosigkeit,62.55060729
2022,Zuerich,Berufsweltmeisterschaft,86.03603604
2022,London,Berufsweltmeisterschaft,NA
2022,Amsterdam,Berufsweltmeisterschaft,22.52252252
2022,Muenchen,Berufsweltmeisterschaft,58.10810811
2022,Dublin,Berufsweltmeisterschaft,37.38738739
2022,Stockholm,Berufsweltmeisterschaft,18.01801802
